lost_item 1, Pic 1, place_times 1, position 115,44,220,149
lost_item 2, Pic 8, place_times 2, position 212,54,329,171
lost_item 2, Pic 8, place_times 3, position 644,40,781,177
lost_item 2, Pic 8, place_times 4, position 519,130,705,316
lost_item 2, Pic 9, place_times 1, position 338,119,515,296
lost_item 2, Pic 9, place_times 2, position 350,71,487,208
lost_item 2, Pic 10, place_times 1, position 165,283,294,412
lost_item 2, Pic 10, place_times 2, position 476,160,601,285
lost_item 2, Pic 10, place_times 3, position 46,437,156,547
lost_item 3, Pic 1, place_times 1, position 116,210,260,354
lost_item 3, Pic 1, place_times 2, position 701,157,776,232
lost_item 3, Pic 1, place_times 3, position 561,18,637,94
lost_item 3, Pic 2, place_times 1, position 146,99,263,216
lost_item 3, Pic 2, place_times 2, position 568,129,748,309
lost_item 3, Pic 2, place_times 3, position 307,110,496,299
lost_item 3, Pic 3, place_times 1, position 355,201,434,280
lost_item 3, Pic 4, place_times 1, position 262,53,355,146
lost_item 3, Pic 4, place_times 2, position 8,63,184,239
lost_item 3, Pic 4, place_times 3, position 618,427,694,503
lost_item 3, Pic 4, place_times 4, position 619,239,769,389
lost_item 3, Pic 5, place_times 1, position 53,237,229,413
lost_item 3, Pic 5, place_times 2, position 600,190,717,307
lost_item 3, Pic 5, place_times 3, position 238,7,357,126
lost_item 3, Pic 5, place_times 4, position 445,205,643,403
lost_item 3, Pic 5, place_times 5, position 146,387,228,469
lost_item 3, Pic 6, place_times 1, position 365,343,515,493
lost_item 3, Pic 6, place_times 2, position 344,218,437,311
lost_item 3, Pic 6, place_times 3, position 151,248,262,359
lost_item 3, Pic 6, place_times 4, position 611,319,770,478
lost_item 3, Pic 6, place_times 5, position 460,364,584,488
lost_item 3, Pic 7, place_times 1, position 583,436,685,538
lost_item 3, Pic 8, place_times 1, position 53,129,133,209
lost_item 3, Pic 9, place_times 1, position 566,243,652,329
lost_item 3, Pic 10, place_times 1, position 558,408,681,531
lost_item 3, Pic 10, place_times 2, position 382,80,505,203
lost_item 3, Pic 10, place_times 3, position 41,132,191,282
lost_item 3, Pic 10, place_times 4, position 498,140,590,232
lost_item 4, Pic 1, place_times 1, position 115,299,313,497
lost_item 4, Pic 1, place_times 2, position 443,175,512,244
lost_item 4, Pic 1, place_times 3, position 279,133,343,197
lost_item 4, Pic 2, place_times 1, position 638,162,772,296
lost_item 4, Pic 3, place_times 1, position 59,233,205,379
lost_item 4, Pic 3, place_times 2, position 668,361,760,453
lost_item 4, Pic 3, place_times 3, position 291,405,359,473
lost_item 4, Pic 3, place_times 4, position 696,363,801,468
lost_item 4, Pic 4, place_times 1, position 541,37,656,152
lost_item 4, Pic 4, place_times 2, position 449,100,552,203
lost_item 4, Pic 5, place_times 1, position 641,315,788,462
lost_item 4, Pic 5, place_times 2, position 34,392,163,521
lost_item 4, Pic 5, place_times 3, position 621,278,701,358
lost_item 4, Pic 5, place_times 4, position 469,432,567,530
lost_item 4, Pic 6, place_times 1, position 490,405,595,510
lost_item 4, Pic 6, place_times 2, position 357,165,546,354
lost_item 4, Pic 6, place_times 3, position 465,357,555,447
lost_item 4, Pic 6, place_times 4, position 605,203,677,275
lost_item 4, Pic 7, place_times 1, position 169,343,251,425
lost_item 4, Pic 7, place_times 2, position 160,168,267,275
lost_item 4, Pic 7, place_times 3, position 645,188,755,298
lost_item 4, Pic 7, place_times 4, position 618,394,672,448
lost_item 4, Pic 7, place_times 5, position 137,333,195,391
lost_item 4, Pic 8, place_times 1, position 93,195,227,329
lost_item 4, Pic 8, place_times 2, position 526,317,695,486
lost_item 4, Pic 8, place_times 3, position 631,92,807,268
lost_item 4, Pic 9, place_times 1, position 356,351,524,519
lost_item 4, Pic 9, place_times 2, position 616,415,671,470
lost_item 4, Pic 10, place_times 1, position 391,55,518,182
lost_item 4, Pic 10, place_times 2, position 329,231,502,404
lost_item 4, Pic 10, place_times 3, position 136,419,198,481
lost_item 4, Pic 10, place_times 4, position 394,13,444,63
lost_item 5, Pic 1, place_times 1, position 542,212,632,302
lost_item 5, Pic 2, place_times 1, position 637,67,762,192
lost_item 5, Pic 2, place_times 2, position 276,82,374,180
lost_item 5, Pic 3, place_times 1, position 87,218,265,396
lost_item 5, Pic 3, place_times 2, position 438,277,602,441
lost_item 5, Pic 3, place_times 3, position 91,380,150,439
lost_item 5, Pic 4, place_times 1, position 22,384,180,542
lost_item 5, Pic 4, place_times 2, position 359,90,523,254
lost_item 5, Pic 4, place_times 3, position 182,7,363,188
lost_item 5, Pic 5, place_times 1, position 239,183,382,326
lost_item 5, Pic 5, place_times 2, position 57,135,176,254
lost_item 5, Pic 5, place_times 3, position 184,371,239,426
lost_item 5, Pic 6, place_times 1, position 542,376,601,435
lost_item 5, Pic 6, place_times 2, position 301,164,451,314
lost_item 5, Pic 6, place_times 3, position 406,182,500,276
lost_item 5, Pic 6, place_times 4, position 530,56,601,127
lost_item 5, Pic 7, place_times 1, position 342,103,402,163
lost_item 5, Pic 8, place_times 1, position 350,390,421,461
lost_item 5, Pic 9, place_times 1, position 672,114,729,171
lost_item 5, Pic 10, place_times 1, position 109,400,159,450
lost_item 6, Pic 1, place_times 1, position 549,408,604,463
lost_item 6, Pic 1, place_times 2, position 157,150,339,332
lost_item 6, Pic 1, place_times 3, position 57,421,117,481
lost_item 6, Pic 1, place_times 4, position 4,420,117,533
lost_item 6, Pic 2, place_times 1, position 413,21,480,88
lost_item 6, Pic 2, place_times 2, position 228,60,345,177
lost_item 6, Pic 2, place_times 3, position 543,344,735,536
lost_item 6, Pic 3, place_times 1, position 553,287,647,381
lost_item 6, Pic 3, place_times 2, position 451,61,602,212
lost_item 6, Pic 3, place_times 3, position 361,243,465,347
lost_item 6, Pic 4, place_times 1, position 113,401,261,549
lost_item 6, Pic 4, place_times 2, position 583,0,769,186
lost_item 6, Pic 5, place_times 1, position 517,63,595,141
lost_item 6, Pic 5, place_times 2, position 532,276,594,338
lost_item 6, Pic 5, place_times 3, position 565,86,644,165
lost_item 6, Pic 6, place_times 1, position 120,172,292,344
lost_item 6, Pic 6, place_times 2, position 624,1,775,152
lost_item 6, Pic 7, place_times 1, position 80,400,175,495
lost_item 6, Pic 7, place_times 2, position 650,354,779,483
lost_item 6, Pic 8, place_times 1, position 152,220,319,387
lost_item 6, Pic 8, place_times 2, position 541,168,656,283
lost_item 6, Pic 8, place_times 3, position 680,231,804,355
lost_item 6, Pic 8, place_times 4, position 128,67,214,153
lost_item 6, Pic 9, place_times 1, position 223,202,399,378
lost_item 6, Pic 9, place_times 2, position 122,75,299,252
lost_item 6, Pic 9, place_times 3, position 531,180,631,280
lost_item 6, Pic 10, place_times 1, position 715,412,816,513
lost_item 6, Pic 10, place_times 2, position 155,104,218,167
lost_item 6, Pic 10, place_times 3, position 553,302,713,462
lost_item 6, Pic 10, place_times 4, position 362,365,531,534
lost_item 6, Pic 10, place_times 5, position 618,25,707,114
lost_item 7, Pic 1, place_times 1, position 539,296,717,474
lost_item 7, Pic 1, place_times 2, position 347,133,451,237
lost_item 7, Pic 1, place_times 3, position 325,444,417,536
lost_item 7, Pic 2, place_times 1, position 543,67,665,189
lost_item 7, Pic 2, place_times 2, position 51,16,102,67
lost_item 7, Pic 2, place_times 3, position 163,204,288,329
lost_item 7, Pic 2, place_times 4, position 160,337,267,444
lost_item 7, Pic 2, place_times 5, position 195,14,341,160
lost_item 7, Pic 3, place_times 1, position 271,216,346,291
lost_item 7, Pic 3, place_times 2, position 429,7,513,91
lost_item 7, Pic 4, place_times 1, position 170,170,343,343
lost_item 7, Pic 5, place_times 1, position 30,295,195,460
lost_item 7, Pic 5, place_times 2, position 648,408,777,537
lost_item 7, Pic 5, place_times 3, position 491,128,587,224
lost_item 7, Pic 5, place_times 4, position 104,41,247,184
lost_item 7, Pic 6, place_times 1, position 696,204,762,270
lost_item 7, Pic 6, place_times 2, position 540,231,701,392
lost_item 7, Pic 6, place_times 3, position 186,155,351,320
lost_item 7, Pic 6, place_times 4, position 487,40,652,205
lost_item 7, Pic 6, place_times 5, position 255,103,349,197
lost_item 7, Pic 7, place_times 1, position 152,105,248,201
lost_item 7, Pic 7, place_times 2, position 383,96,578,291
lost_item 7, Pic 7, place_times 3, position 30,114,167,251
lost_item 7, Pic 8, place_times 1, position 360,292,425,357
lost_item 7, Pic 8, place_times 2, position 194,63,275,144
lost_item 7, Pic 8, place_times 3, position 493,346,595,448
lost_item 7, Pic 8, place_times 4, position 363,152,507,296
lost_item 7, Pic 8, place_times 5, position 397,317,581,501
lost_item 7, Pic 9, place_times 1, position 318,172,462,316
lost_item 7, Pic 9, place_times 2, position 51,46,170,165
lost_item 7, Pic 10, place_times 1, position 323,208,466,351
lost_item 7, Pic 10, place_times 2, position 446,118,643,315
lost_item 7, Pic 10, place_times 3, position 140,51,232,143
lost_item 7, Pic 10, place_times 4, position 611,347,796,532
lost_item 8, Pic 1, place_times 1, position 555,224,734,403
lost_item 8, Pic 1, place_times 2, position 249,145,410,306
lost_item 8, Pic 1, place_times 3, position 190,494,244,548
lost_item 8, Pic 1, place_times 4, position 103,189,271,357
lost_item 8, Pic 2, place_times 1, position 404,98,515,209
lost_item 8, Pic 2, place_times 2, position 325,318,475,468
lost_item 8, Pic 2, place_times 3, position 702,391,785,474
lost_item 8, Pic 2, place_times 4, position 639,388,719,468
lost_item 8, Pic 2, place_times 5, position 295,220,407,332
lost_item 8, Pic 3, place_times 1, position 569,317,691,439
lost_item 8, Pic 3, place_times 2, position 543,329,595,381
lost_item 8, Pic 3, place_times 3, position 496,382,618,504
lost_item 8, Pic 4, place_times 1, position 520,76,579,135
lost_item 8, Pic 4, place_times 2, position 144,323,300,479
lost_item 8, Pic 4, place_times 3, position 237,220,379,362
lost_item 8, Pic 4, place_times 4, position 192,43,333,184
lost_item 8, Pic 4, place_times 5, position 247,65,324,142
lost_item 8, Pic 5, place_times 1, position 121,145,242,266
lost_item 8, Pic 5, place_times 2, position 1,119,70,188
lost_item 8, Pic 6, place_times 1, position 464,2,583,121
lost_item 8, Pic 6, place_times 2, position 317,333,430,446
lost_item 8, Pic 6, place_times 3, position 177,215,236,274
lost_item 8, Pic 6, place_times 4, position 133,171,308,346
lost_item 8, Pic 7, place_times 1, position 352,92,415,155
lost_item 8, Pic 7, place_times 2, position 22,86,204,268
lost_item 8, Pic 8, place_times 1, position 620,194,782,356
lost_item 8, Pic 9, place_times 1, position 475,406,608,539
lost_item 8, Pic 9, place_times 2, position 286,356,419,489
lost_item 8, Pic 9, place_times 3, position 450,281,602,433
lost_item 8, Pic 9, place_times 4, position 493,319,611,437
lost_item 8, Pic 9, place_times 5, position 688,349,808,469
lost_item 8, Pic 10, place_times 1, position 482,306,622,446
lost_item 8, Pic 10, place_times 2, position 524,283,720,479
lost_item 9, Pic 1, place_times 1, position 542,191,720,369
lost_item 9, Pic 1, place_times 2, position 400,323,480,403
lost_item 9, Pic 1, place_times 3, position 120,218,295,393
lost_item 9, Pic 1, place_times 4, position 665,386,815,536
lost_item 9, Pic 2, place_times 1, position 42,164,159,281
lost_item 9, Pic 2, place_times 2, position 194,110,264,180
lost_item 9, Pic 2, place_times 3, position 630,298,755,423
lost_item 9, Pic 2, place_times 4, position 66,220,215,369
lost_item 9, Pic 2, place_times 5, position 61,167,164,270
lost_item 9, Pic 3, place_times 1, position 642,138,743,239
lost_item 9, Pic 3, place_times 2, position 374,345,512,483
lost_item 9, Pic 3, place_times 3, position 280,221,354,295
lost_item 9, Pic 4, place_times 1, position 402,94,552,244
lost_item 9, Pic 4, place_times 2, position 570,104,762,296
lost_item 9, Pic 4, place_times 3, position 242,83,417,258
lost_item 9, Pic 4, place_times 4, position 277,242,343,308
lost_item 9, Pic 5, place_times 1, position 338,76,475,213
lost_item 9, Pic 6, place_times 1, position 475,266,606,397
lost_item 9, Pic 6, place_times 2, position 340,82,465,207
lost_item 9, Pic 7, place_times 1, position 713,317,812,416
lost_item 9, Pic 7, place_times 2, position 414,121,602,309
lost_item 9, Pic 7, place_times 3, position 185,224,365,404
lost_item 9, Pic 8, place_times 1, position 296,154,428,286
lost_item 9, Pic 8, place_times 2, position 546,365,629,448
lost_item 9, Pic 8, place_times 3, position 339,347,490,498
lost_item 9, Pic 8, place_times 4, position 722,185,794,257
lost_item 9, Pic 9, place_times 1, position 307,208,485,386
lost_item 9, Pic 9, place_times 2, position 260,339,358,437
lost_item 9, Pic 10, place_times 1, position 96,299,277,480
lost_item 9, Pic 10, place_times 2, position 234,194,336,296
lost_item 10, Pic 1, place_times 1, position 271,53,398,180
lost_item 10, Pic 1, place_times 2, position 509,355,645,491
lost_item 10, Pic 1, place_times 3, position 477,245,646,414
lost_item 10, Pic 1, place_times 4, position 634,87,813,266
lost_item 10, Pic 1, place_times 5, position 411,229,561,379
lost_item 10, Pic 2, place_times 1, position 410,103,577,270
lost_item 10, Pic 2, place_times 2, position 570,311,695,436
lost_item 10, Pic 2, place_times 3, position 286,237,419,370
lost_item 10, Pic 3, place_times 1, position 249,442,353,546
lost_item 10, Pic 3, place_times 2, position 447,94,638,285
lost_item 10, Pic 4, place_times 1, position 558,235,664,341
lost_item 10, Pic 4, place_times 2, position 20,446,96,522
lost_item 10, Pic 4, place_times 3, position 392,6,482,96
lost_item 10, Pic 5, place_times 1, position 401,36,573,208
lost_item 10, Pic 5, place_times 2, position 6,35,106,135
lost_item 10, Pic 5, place_times 3, position 212,310,352,450
lost_item 10, Pic 5, place_times 4, position 563,279,680,396
lost_item 10, Pic 5, place_times 5, position 239,424,300,485
lost_item 10, Pic 6, place_times 1, position 510,252,689,431
lost_item 10, Pic 6, place_times 2, position 424,109,595,280
lost_item 10, Pic 6, place_times 3, position 643,62,715,134
lost_item 10, Pic 6, place_times 4, position 615,297,700,382
lost_item 10, Pic 7, place_times 1, position 20,355,106,441
lost_item 10, Pic 7, place_times 2, position 373,261,535,423
lost_item 10, Pic 8, place_times 1, position 392,196,558,362
lost_item 10, Pic 9, place_times 1, position 487,70,586,169
lost_item 10, Pic 10, place_times 1, position 106,22,276,192
